content,score
"gamenya pokoknya the best!!!! cukup bagus sih ,tapi tolong devloper roblox pas main itu sering banyak bug padahal wifi bagus loh. sudah itu sering ngelag. terus pas mau keluar map itu biasa masuk kemap itu lagi , tapi game ini tetap seruh kok karena banyak mapnya😃😃.",5
"game' nya udah Bagus,dan fasilitas nya juga Waw banget,tapi sering ada bug nya karakter warna nya putih tolong ya di perbaiki bug nya ,aku beri Lima bintang,aku suka banget game Roblox, dan grafik nya Bagus HD dan coba kali kali karakter paling Bagus di free kan / gratis pengin nyobain katekter bagus,kali kali lah, semoga nomor 1 di plasytor ♥️😊",5
"Game ini sangat seru, kita bisa main bareng dengan teman kita! seru ya seru tetapi pasti setiap game ada kekurangannya sekarang saya mau ngasih tau kekurangannya 1. Saat masuk ke dalam map kadang tombol jump dan joystick hilang tak tahu kemana itu membuatnya sangat menggangu 2.kalau tombol jump dan joystick hilang kadang kameranya susah di kontrol itu saja, kalau kurang maafkan saya saranku kalau mau main map yang berat di roblox seperti evade dan lainnya saran saya pakai pc/laptop",5
"THE BEST GAMEE!!! Gua main ini dari 2016 dan gak pernah bosen, tapi masih aja ada bug.. 1. pas mau keluar map tiba-tiba join lagi, 2. mau join temen tapi gak bisa, 3. tiba-tiba dc atau lag padahal sinyal bagus banget, 4. kadang kamera suka muter sendiri.. jadi pas main tower jatuh terus (padahal udah di setting kamera) 5. pas main enjoy² tiba-tiba keluar game sendiri.. itu aja yang gua alami, semoga di update selanjutnya udah di perbaiki ya roblox",5
"aku suka game ini tapi pas main tower ada aja bug nya kadang lompat² sendiri,jalan sendiri tapi menurut aku sih map nya bagus bagus kayak dangerous night[furnish the bunker] itu yang paling ku suka toloong bug nya diperbaiki ya developer developer roblox ku semua",5
"Ak main sendiri tpi seruu, game fav sii😻. btw.. aku kan mau main speed draw, seinget aku speed draw itu 9+ gitu. umur aku uda 9+ tpi tetep kena batasan usia pas main?? jdi ga bisa, pdhl itu fav aku mapnyaa😿 dan dirobloxnya juga aku uda setting 2013, artinya 9+.. tetep ga bisaa, roblox tolong di perbaiki plss🙁🙏",5
"Sangat bagusss!!! di roblox ini ada kelebihan dan kekurangan bagi saya kelebihannya itu misalkan kalau server nya bagus bakalan bagus tetapi banyak orang iseng kekurangannya server yang biasanya saya masuki itu terus menerus ngelek tapi bisa masuk, menurut saya dipertimbangkan lagi untuk server yang ngelek , sekian terima gaji TERIMA KASIH ROBLOX🎀🎀",5
"game nya seru banget, banyak pilihan game nya tapi aku lebih suka sama dandy's world. tapi sayangnya game ini ngebug pertama kan aku sedang main tower nah lalu tiba-tiba player ku jalan sendiri yang ngebuat aku jatoh yang kedua ini yang paling ngeselin jadi kan aku tu mau main roblox tapi gk bisa main terjadi error lah tidak ada koneksi internet lah padahal kuota ku masih banyak tolong developer perbaiki lagi ya gamenya",5
"game nya bagus cuma masih ada yg ngelag, trs tombol lompat nya kalo bisa di besarkan lagi ya kadang kao lagi main lompat nya ga kepencet, dan tolong roblox ku kenapa error udah aku download berkali-kali tapi tetap error tolong diperbaiki saya jadi terganggu 😭🙏🙏",5
bagus bgt +banyak kenalan dari berbagai kota pokoknya suka bgt deh tapi ada satu bug yg ngga aku suka yaitu saat aku mau keluar map trus masuk lagi itu benci bgt sumpah tapi tolong diperbaiki ya untuk tim roblox dan tolong dikurangi lagi ya update nya males bgt update nya soalnya hehe,4
Game nya bagus tapi kadang ada bug kalo lagi main sering suka gerak sendiri kayak contoh nya misal nya aku lagi main nah terus kontrol nya aneh kadang kekiri kekanan keatas terus pas lagi main obby kena laser pas lagi lompat terus gak sengaja klik icon (logo) Roblox terus aku pencet tombol X malah lompat terus menerus tolong ya bug nya diperbaiki meskipun ada bug tapi aku tetap kasih bintang lima tapi kadang juga beberapa game kadang gak ngehibur malah nyebelin banget pake banget,5
"Sebenarnya ini game ga ada masalah, cuma kenapa pas saya login ke akunku Mizuyu2 di Roblox Web, Gmailnya malah otomatis dihapus dari akunnya? maksudnya kan udah kesambunh dari awal, nah ini dipaksa log out terus malah ga ada itu tulisan kirim lagi kode, padahal udah tersambung email-nya jadi berarti ini emang di putusin, kalo ga diperbaiki entar malah permanen hilang itu akun. mana udah bagus lagi, asuu",1
"Game nya udh bagus cuman ping nya itu sepertinya bug soalnya selalu stuck di 100 terus ga bisa turun jadi 50 atau 60 padahal wifi saya lancar, dan tolong tambahkan kontrol keyboard dan mouse, sebenarnya keyboard dan mouse sudah bisa berjalan di Roblox mobile tetapi ada bug pada pergerakan layar saat menggunakan mouse, seperti layar stuck atau tersangkut",4
"SO FUN I REALLY LIKE THIS GAME!🤗,gabisa bhs inggris hehehe mff kalo salah oh iya aku suka banget sama game ini karena game ini tidak membuat ku bosan meskipun suka lupa waktu kalo bermain game roblox,tapi pokoknya game ini seru dehh, tapi tolong bugnya diperbaiki kalo wallflick layarnya tiba-tiba ga bisa di gerakin dan juga setiap mau main tiba-tiba tombol lompatnya ga bisa dipencet😤",5
"gamenya udah seru dengan map yang banyak gaakan bikin kalian bosen karena bisa milih milih map, tapi sayangnya terkadang roblox suka ghost touch.. kaya gerak gerak sendiri padahal ga disentuh, apalagi kita kalau main obby tower suka jatuh karena ghost touch itu, semoga kedepannya lebih diperbaiki terimakasih.",5
"sumpah roblox tuh enak banget apalagi ada beragam map, mulai dari main sendiri, bedua,bareng dan jenis map yang horror, menghibur, santai, teka teki, dan juga banyak creator yang sering buat map juga jadi enak banget, tapi pasti semua game punya mines, mines dari game ini suka boros batrei hp, suka ngelag parah kalo map nya besar, atau pengunjung map nya banyak, bikin hp panas juga, dan kalau masuk map pasti ada item kita yang hilang atau gk kepke padahal pas di inventori ada tapi pas dimap gkda",4
"Game nya sih bagus ya, cuman mungkin ada beberapa bug daei pihak robloxnya atau mungkin juga dampak dari map nya juga. Nah katanya harga regional kan udah ada ya, tapi masih banyak yg belum kedapetan, akun utama saya saat tidak ada robux disana murah² saat saya top up, mengapa kembali ke harga normal yg mahal? akun kedua saya yg tak ada robuxnya malah murah², tolong lebih diperhatikan ya, moga fitur harga regional menyeluruh dengan cepat.",5
menurut aku game nya bagus banget dan ada banyak map yg seru cuman kalo aku buka Roblox nya biasanya gak bisa dan katanya kesalahan sambungan padahal internet ku udh bagus dan sampe aku ngecek gak papa tuh tapi gak tau nya gak bisa lalu aku tunggu lama supaya bisa tapi ternyata sama aja tolong ya perbaiki soalnya sekarang banyak banget bug nya🙏,3
"bagus banget roblox bisa Mabar dan sepuas nya tapi ada yang kurang ,pas aku main kenapa bisa terjadi koneksi terputus padahal wifi atau data masih baik baik saja dan satu lagi kenapa pas aku main terjadi yang kayak gini,keluar sendiri,roblox kadaluarsa,dan akun lama aku pake sekarang sudah dihapus tapi menurut ku ini roblox bagus bagus aja sih aku kasih rating 5 soalnya bisa bikin dunia sendiri atau bikin game pass dan bikin grup udah segini aja byee",5
"bagus,tapi di hp ku ada bugnya setiap main pasti tiba tiba kameranya berubah jadi mengikuti, apa lagi joystick nya ngebug jalan sendiri, paling males kalau kek gitu, tolong di fix bugnya mimin Roblox",3
"game roblox sangat bagus banyak sekali map dan tidak ada bug aku suka tower dan obby tapi map paling aku suka ""BROOKHAVEN"" dan ""SURVIVE THE KILLERS"" pokoknya game nya seru semua tapi saat aku mau top up harganya sedikit mahal saya izin untuk harganya di kurangi ya♡☆",5
